	MA_SCP_Best	MA_SCP_Avg	MA_iSCP_Best	MA_iSCP_Avg	MA_SCP+_Best	MA_SCP+_Avg	MA_CB_Best	MA_CB_Avg	MA_ICP_Best	MA_ICP_Avg	MA_HYB_Best	MA_HYB_Avg	CPO_Best	CPO_Avg
i750_20_10	2806	3050.87	2651	2674.27	2661	2685.70	2632	2641.10	2695	2748.27	2632	2632.00	2866	2866.00
i750_30_1	5048	5211.47	5073	5171.57	5064	5145.93	4860	4923.03	4884	4942.00	4713	4733.10	5092	5092.00
i750_30_2	5790	6208.50	5313	5417.40	5281	5443.20	5189	5224.07	5211	5249.23	5128	5128.00	6045	6045.00
i750_30_3	2669	2891.40	2523	2597.37	2560	2633.50	2374	2404.30	2651	2734.90	2364	2372.43	3200	3200.00
i750_30_4	3243	3412.63	3230	3312.57	3251	3363.63	3018	3068.93	3317	3409.57	2951	2970.43	3240	3240.00
i750_30_5	776	854.20	776	829.47	757	827.67	691	713.33	677	692.53	661	669.03	733	733.00
i750_30_6	2944	3139.30	2648	2732.73	2641	2737.87	2583	2603.83	2607	2629.00	2577	2577.00	3028	3028.00
i750_30_7	1302	1417.70	1140	1168.40	1146	1185.57	1090	1101.23	1080	1095.83	1070	1070.00	1243	1289.87
i750_30_8	3162	3354.63	3015	3065.10	3036	3079.83	2919	2947.27	2981	3014.57	2911	2911.20	3281	3281.17
i750_30_9	3072	3459.17	2821	2894.90	2850	2897.43	2725	2751.07	2791	2851.33	2700	2700.10	3118	3118.00
i750_30_10	2217	2459.03	2068	2118.03	2065	2127.33	2004	2026.57	2011	2043.23	1994	1994.00	2256	2256.00
i750_50_1	5843	6162.83	5520	5684.83	5558	5715.57	5251	5340.27	5191	5243.27	5134	5134.00	5989	5989.00
i750_50_2	6774	7135.13	6244	6402.60	6132	6318.30	5007	5146.17	6095	6219.90	4978	5024.53	5766	5766.00
i750_50_3	14982	15532.20	14280	14657.30	13973	14252.40	12596	12723.00	14213	14465.40	12601	12685.00	13945	13945.00
i750_50_4	2808	3110.53	2585	2663.27	2571	2648.30	2411	2444.50	2415	2475.17	2356	2356.00	2699	2699.00
i750_50_5	10711	11358.50	10452	10709.10	10463	10691.30	10092	10216.00	9909	9968.83	9840	9841.17	11096	11096.00
i750_50_6	13303	13734.20	12363	12685.70	12436	12761.00	11763	11880.30	12006	12204.80	11483	11494.60	12590	12590.00
i750_50_7	5508	5831.50	5187	5332.57	5285	5388.10	4995	5054.63	4962	5019.57	4868	4870.10	5748	5748.00
i750_50_8	11757	12284.80	11288	11490.80	11262	11488.80	10800	10879.50	10743	10833.20	10580	10580.30	11425	11425.00
i750_50_9	6157	6487.70	5675	5923.03	5718	5885.73	5295	5372.30	5353	5427.07	5154	5156.67	5689	5689.00
i750_50_10	6732	7105.93	6395	6523.87	6256	6397.83	5220	5306.40	6235	6369.27	5204	5259.70	6139	6139.00
i1000_10_1	821	1262.17	641	641.00	641	641.00	641	641.00	648	676.17	641	641.00	712	712.00
i1000_10_2	25078	26499.60	23929	24395.40	23755	23996.70	23474	23604.20	27152	27613.50	23729	23784.30	24629	24629.00
i1000_10_3	988	1445.27	815	825.90	813	834.10	812	821.33	1370	1549.47	815	822.87	1071	1071.00
i1000_10_4	17794	19175.20	15222	15387.70	15207	15279.50	15208	15237.60	15901	16119.00	15204	15213.40	15711	15711.00
i1000_10_5	16403	17782.60	15215	15467.30	15195	15324.50	15085	15166.70	18730	19173.70	15393	15493.20	16299	16299.00
i1000_10_6	2750	3506.57	2025	2026.07	2025	2025.20	2025	2025.07	2163	2261.67	2025	2025.00	2188	2217.97
i1000_10_7	740	892.73	733	784.43	730	761.93	729	748.00	957	1029.87	735	743.57	779	779.00
i1000_10_8	21396	22272.50	21063	21889.10	20808	21377.30	20659	20769.00	22460	22845.70	20686	20743.90	20902	20933.77
i1000_10_9	25035	27379.80	22371	22565.50	22272	22420.30	22200	22280.20	24567	25060.30	22358	22394.20	23213	23213.00
